"date";"category";"value"
"2026-01-01";"Административная деятельность";115990.7977206859
"2026-01-01";"Водоснабжение";44321.4647534266
"2026-01-01";"Все отрасли";4450473.431752066
"2026-01-01";"Гостиницы и общепит";58672.6206907463
"2026-01-01";"Государственное управление и военная безопасность";237214.747330835
"2026-01-01";"Деятельность в области информации и связи";326470.8636689675
"2026-01-01";"Добыча полезных ископаемых";173413.6904434342
"2026-01-01";"Здравоохранение";375401.0370990463
"2026-01-01";"Научная и профессиональная деятельность";313914.6027488179
"2026-01-01";"Обрабатывающие производства";784630.065297393
"2026-01-01";"Образование";334652.4021020156
"2026-01-01";"Операции с недвижимостью";85270.8070337663
"2026-01-01";"Прочие услуги";18489.0222
"2026-01-01";"Сельское хозяйство";92529.8590034944
"2026-01-01";"Спорт и досуг";71521.8948152107
"2026-01-01";"Строительство";239872.9968018889
"2026-01-01";"Торговля";495055.5420203587
"2026-01-01";"Транспортировка и хранение";343806.468878908
"2026-01-01";"Услуги ЖКХ";138549.7786259098
"2026-01-01";"Финансы и страхование";200614.8352171606
"2025-12-01";"Административная деятельность";132815.5423184975
"2025-12-01";"Водоснабжение";45852.1954676001
"2025-12-01";"Все отрасли";6108825.21967933
"2025-12-01";"Гостиницы и общепит";56649.0603677178
"2025-12-01";"Государственное управление и военная безопасность";578628.2575290045
"2025-12-01";"Деятельность в области информации и связи";508152.6423924328
"2025-12-01";"Добыча полезных ископаемых";259327.4309618013
"2025-12-01";"Здравоохранение";425062.6133070816
"2025-12-01";"Научная и профессиональная деятельность";459945.0658237595
"2025-12-01";"Обрабатывающие производства";925821.7137117392
"2025-12-01";"Образование";467910.4737368062
"2025-12-01";"Операции с недвижимостью";109622.6294159042
"2025-12-01";"Прочие услуги";18489.0222
"2025-12-01";"Сельское хозяйство";111412.1400854626
"2025-12-01";"Спорт и досуг";101491.7691848653
"2025-12-01";"Строительство";304490.1719076904
"2025-12-01";"Торговля";545282.3651238936
"2025-12-01";"Транспортировка и хранение";403962.4247138131
"2025-12-01";"Услуги ЖКХ";162587.483293728
"2025-12-01";"Финансы и страхование";491242.2828375324
"2025-11-01";"Административная деятельность";101938.6722
"2025-11-01";"Водоснабжение";39112.3129
"2025-11-01";"Все отрасли";4281745.9753
"2025-11-01";"Гостиницы и общепит";53846.2281
"2025-11-01";"Государственное управление и военная безопасность";274070.107
"2025-11-01";"Деятельность в области информации и связи";285000.1516
"2025-11-01";"Добыча полезных ископаемых";176021.0575
"2025-11-01";"Здравоохранение";338679.3823
"2025-11-01";"Научная и профессиональная деятельность";301635.3848
"2025-11-01";"Обрабатывающие производства";734250.4854
"2025-11-01";"Образование";348140.2534
"2025-11-01";"Операции с недвижимостью";83748.0505
"2025-11-01";"Прочие услуги";18489.0222
"2025-11-01";"Сельское хозяйство";90619.6736
"2025-11-01";"Спорт и досуг";72522.9792
"2025-11-01";"Строительство";251869.7892
"2025-11-01";"Торговля";477837.5877
"2025-11-01";"Транспортировка и хранение";325806.5346
"2025-11-01";"Услуги ЖКХ";124526.3953
"2025-11-01";"Финансы и страхование";183551.9725
"2025-10-01";"Административная деятельность";101479.0786
"2025-10-01";"Водоснабжение";39713.1277
"2025-10-01";"Все отрасли";4342263.4892
"2025-10-01";"Гостиницы и общепит";54468.9866
"2025-10-01";"Государственное управление и военная безопасность";275165.1362
"2025-10-01";"Деятельность в области информации и связи";292482.8193
"2025-10-01";"Добыча полезных ископаемых";174807.796
"2025-10-01";"Здравоохранение";335291.3435
"2025-10-01";"Научная и профессиональная деятельность";309436.6523
"2025-10-01";"Обрабатывающие производства";746130.9497
"2025-10-01";"Образование";338995.6106
