zcyc

tradedate;tradetime;period_0.5
06.01.2014;12:21:16;6,02
08.01.2014;12:41:22;6,01
09.01.2014;18:38:19;5,87
10.01.2014;18:38:17;5,81
13.01.2014;18:37:26;5,9
14.01.2014;18:39:09;5,88
15.01.2014;18:38:21;5,88
16.01.2014;18:38:30;5,89
17.01.2014;18:39:49;5,94
20.01.2014;18:39:25;5,92
21.01.2014;18:38:47;6,0
22.01.2014;18:39:29;5,99
23.01.2014;18:38:07;6,0
24.01.2014;18:39:07;6,14
27.01.2014;18:39:32;6,1
28.01.2014;18:39:37;6,12
29.01.2014;18:38:35;6,22
30.01.2014;18:39:32;6,46
31.01.2014;18:39:46;6,34
03.02.2014;18:39:31;6,23
04.02.2014;18:39:50;6,17
05.02.2014;18:39:23;6,13
06.02.2014;18:39:19;6,17
07.02.2014;18:36:44;6,08
10.02.2014;18:37:12;6,08
11.02.2014;18:39:03;6,09
12.02.2014;18:39:46;6,15
13.02.2014;18:38:03;6,17
14.02.2014;18:32:09;6,17
17.02.2014;18:34:15;6,07
18.02.2014;18:39:17;6,14
19.02.2014;18:38:07;6,26
20.02.2014;18:38:52;6,05
21.02.2014;18:39:19;6,13
24.02.2014;18:35:23;6,06
25.02.2014;18:33:22;6,06
26.02.2014;18:35:25;5,96
27.02.2014;18:38:53;5,98
28.02.2014;18:38:35;5,97
03.03.2014;18:31:43;7,02
04.03.2014;18:34:20;6,76
05.03.2014;18:39:43;6,94
06.03.2014;18:39:02;7,01
07.03.2014;18:39:57;6,84
11.03.2014;18:39:54;6,78
12.03.2014;18:39:47;7,13
13.03.2014;18:37:46;6,92
14.03.2014;18:39:54;7,41
17.03.2014;18:38:59;6,67
18.03.2014;18:39:51;6,55
19.03.2014;18:38:38;6,62
20.03.2014;18:39:34;7,18
21.03.2014;18:35:24;7,11
24.03.2014;18:38:56;7,12
25.03.2014;18:37:06;6,93
26.03.2014;18:39:57;6,67
27.03.2014;18:38:06;6,91
28.03.2014;18:39:34;6,74
31.03.2014;18:38:14;6,63
01.04.2014;18:39:19;6,82
02.04.2014;18:39:29;6,62
03.04.2014;18:37:17;6,69
04.04.2014;18:37:48;6,52
07.04.2014;18:39:52;6,69
08.04.2014;18:39:53;6,68
09.04.2014;18:37:20;6,87
10.04.2014;18:38:54;6,92
11.04.2014;18:39:53;6,93
14.04.2014;18:37:50;6,92
15.04.2014;18:39:48;6,88
16.04.2014;18:39:45;6,97
17.04.2014;18:38:49;6,95
18.04.2014;18:38:59;6,89
21.04.2014;18:38:00;6,97
22.04.2014;18:36:36;6,89
23.04.2014;18:39:58;7,06
24.04.2014;18:38:47;7,07
25.04.2014;18:37:30;7,38
28.04.2014;18:39:25;7,33
29.04.2014;18:38:29;7,03
30.04.2014;18:35:19;7,08
02.05.2014;11:36:32;7,32
05.05.2014;18:33:29;7,46
06.05.2014;18:39:35;7,27
07.05.2014;18:39:38;7,4
08.05.2014;18:39:08;7,59
12.05.2014;18:35:36;7,67
13.05.2014;18:39:37;7,64
14.05.2014;18:35:40;7,61
15.05.2014;18:38:56;7,39
16.05.2014;18:33:18;7,39
19.05.2014;18:39:38;7,36
20.05.2014;18:39:40;7,61
21.05.2014;18:39:31;7,39
22.05.2014;18:39:10;7,44
23.05.2014;18:38:13;7,26
26.05.2014;18:38:47;7,17
27.05.2014;18:38:40;7,71
28.05.2014;18:39:38;7,41
29.05.2014;18:39:43;7,4
30.05.2014;18:39:11;7,53
02.06.2014;18:35:07;7,5
03.06.2014;18:32:06;7,67
04.06.2014;18:30:44;7,73
05.06.2014;18:39:31;7,71
06.06.2014;18:38:31;7,51
09.06.2014;18:39:35;7,57
10.06.2014;18:38:04;7,62
11.06.2014;18:38:43;7,74
16.06.2014;18:32:02;7,78
17.06.2014;18:38:35;7,85
18.06.2014;18:39:56;7,84
19.06.2014;18:37:24;7,83
20.06.2014;18:38:22;7,8
23.06.2014;18:39:12;7,84
24.06.2014;18:39:18;7,75
25.06.2014;18:38:19;7,68
26.06.2014;18:39:42;7,7
27.06.2014;18:36:36;7,75
30.06.2014;18:39:51;7,75
01.07.2014;18:39:53;7,74
02.07.2014;18:32:38;7,65
03.07.2014;18:34:02;7,61
04.07.2014;18:37:56;7,58
07.07.2014;18:35:43;7,58
08.07.2014;18:38:04;7,52
09.07.2014;18:39:47;7,61
10.07.2014;18:39:35;7,71
11.07.2014;18:39:54;7,83
14.07.2014;18:36:31;7,81
15.07.2014;18:39:39;7,9
16.07.2014;18:39:39;8,02
17.07.2014;18:39:33;8,14
18.07.2014;18:39:40;8,11
21.07.2014;18:39:36;8,31
22.07.2014;18:39:53;8,23
23.07.2014;18:39:50;8,19
24.07.2014;18:36:54;8,12
25.07.2014;18:39:53;8,35
28.07.2014;18:39:25;8,48
29.07.2014;18:39:44;8,65
30.07.2014;18:36:05;8,6
31.07.2014;18:39:00;8,49
01.08.2014;18:39:52;8,33
04.08.2014;18:38:42;8,42
05.08.2014;18:37:24;8,43
06.08.2014;18:38:33;8,41
07.08.2014;18:36:18;8,41
08.08.2014;18:38:25;8,11
11.08.2014;18:39:20;8,12
12.08.2014;18:39:50;8,05
13.08.2014;18:39:36;8,16
14.08.2014;18:39:04;8,09
15.08.2014;18:39:04;8,25
18.08.2014;18:29:18;8,12
19.08.2014;18:38:11;8,24
20.08.2014;18:39:19;8,12
21.08.2014;18:39:39;8,16
22.08.2014;18:39:41;7,93
25.08.2014;18:39:02;7,84
26.08.2014;18:39:58;7,9
27.08.2014;18:39:01;7,98
28.08.2014;18:38:43;8,23
29.08.2014;18:39:56;8,65
01.09.2014;18:39:37;8,72
02.09.2014;18:39:35;8,39
03.09.2014;18:39:57;8,08
04.09.2014;18:36:46;8,18
05.09.2014;18:39:03;8,08
08.09.2014;18:37:48;8,19
09.09.2014;18:39:25;8,25
10.09.2014;18:38:42;8,32
11.09.2014;18:36:28;8,16
12.09.2014;18:38:15;8,15
15.09.2014;18:37:25;8,28
16.09.2014;18:37:37;8,24
17.09.2014;18:39:39;8,14
18.09.2014;18:39:01;8,3
19.09.2014;18:39:42;8,26
22.09.2014;18:32:23;8,35
23.09.2014;18:38:33;8,3
24.09.2014;18:38:51;8,35
25.09.2014;18:38:54;8,4
26.09.2014;18:39:09;8,43
29.09.2014;18:39:02;8,32
30.09.2014;18:39:26;8,44
01.10.2014;18:38:04;8,42
02.10.2014;18:39:55;8,4
03.10.2014;18:39:13;8,51
06.10.2014;18:33:09;8,52
07.10.2014;18:39:19;8,57
08.10.2014;18:39:59;8,58
09.10.2014;18:39:40;8,55
10.10.2014;18:39:44;8,55
13.10.2014;18:39:16;8,55
14.10.2014;18:38:25;8,53
15.10.2014;18:38:22;8,47
16.10.2014;18:39:44;8,44
17.10.2014;18:39:56;8,3
20.10.2014;18:38:23;8,34
21.10.2014;18:36:02;8,26
22.10.2014;18:39:55;8,34
23.10.2014;18:37:30;8,45
24.10.2014;18:39:45;8,34
27.10.2014;18:38:22;8,36
28.10.2014;18:39:59;8,54
29.10.2014;18:38:02;8,96
30.10.2014;18:39:38;9,34
31.10.2014;18:39:06;9,08
03.11.2014;17:49:36;9,04
05.11.2014;18:38:36;9,43
06.11.2014;18:39:58;9,36
07.11.2014;18:38:31;9,46
10.11.2014;18:39:01;9,21
11.11.2014;18:39:45;9,4
12.11.2014;18:39:49;9,48
13.11.2014;18:37:18;9,51
14.11.2014;18:39:26;9,64
17.11.2014;18:38:30;9,6
18.11.2014;18:39:38;9,72
19.11.2014;18:36:04;9,79
20.11.2014;18:37:30;9,74
21.11.2014;18:39:19;9,62
24.11.2014;18:36:04;9,77
25.11.2014;18:38:05;9,86
26.11.2014;18:39:44;9,86
27.11.2014;18:39:14;9,98
28.11.2014;18:39:00;9,94
01.12.2014;18:39:15;10,4
02.12.2014;18:38:26;10,32
03.12.2014;18:39:07;10,44
04.12.2014;18:39:15;10,62
05.12.2014;18:39:18;10,73
08.12.2014;18:39:27;11,59
09.12.2014;18:38:00;11,84
10.12.2014;18:39:07;11,73
11.12.2014;18:37:41;11,56
12.12.2014;18:39:56;11,81
15.12.2014;18:37:52;11,87
16.12.2014;18:39:34;17,56
17.12.2014;18:34:53;14,06
18.12.2014;18:36:03;14,78
19.12.2014;18:39:42;15,46
22.12.2014;18:39:45;14,96
23.12.2014;18:39:00;15,34
24.12.2014;18:39:33;15,53
25.12.2014;18:39:27;14,92
26.12.2014;18:37:39;14,52
29.12.2014;18:35:22;13,63
30.12.2014;18:39:56;13,1
05.01.2015;15:52:47;13,86
06.01.2015;18:39:19;13,66
08.01.2015;18:38:33;14,17
09.01.2015;18:38:26;14,33
12.01.2015;18:34:05;16,17
13.01.2015;18:39:47;16,4
14.01.2015;18:39:32;15,61
15.01.2015;18:35:20;14,36
16.01.2015;18:32:07;14,25
19.01.2015;18:37:11;14,34
20.01.2015;18:38:14;15,03
21.01.2015;18:39:44;14,89
22.01.2015;18:39:15;14,7
23.01.2015;18:38:29;14,58
26.01.2015;18:38:31;15,28
27.01.2015;18:39:56;15,24
28.01.2015;18:39:05;15,18
29.01.2015;18:17:50;15,02
30.01.2015;18:39:28;14,16
02.02.2015;18:39:58;13,73
03.02.2015;18:39:08;13,44
04.02.2015;18:39:54;13,31
05.02.2015;18:37:32;13,06
06.02.2015;18:39:04;12,69
09.02.2015;18:39:02;12,51
10.02.2015;18:38:39;12,56
11.02.2015;18:39:04;12,58
12.02.2015;18:39:32;12,54
13.02.2015;18:39:09;12,44
16.02.2015;18:39:43;12,09
17.02.2015;18:39:45;12,05
18.02.2015;18:39:19;11,82
19.02.2015;18:39:50;12,25
20.02.2015;18:39:38;12,52
24.02.2015;18:38:05;13,3
25.02.2015;18:39:00;13,56
26.02.2015;18:39:33;13,58
27.02.2015;18:39:59;13,55
02.03.2015;18:36:17;13,67
03.03.2015;18:32:29;12,75
04.03.2015;18:39:19;12,95
05.03.2015;18:39:51;12,81
06.03.2015;18:39:34;12,37
10.03.2015;18:39:52;12,91
11.03.2015;18:39:53;12,96
12.03.2015;18:37:13;12,65
13.03.2015;18:38:57;12,72
16.03.2015;18:39:23;12,72
17.03.2015;18:37:39;12,99
18.03.2015;18:39:53;12,94
19.03.2015;18:36:46;12,72
20.03.2015;18:38:49;12,56
23.03.2015;18:00:06;12,58
